1911 Hard Cider, Marietta, New York
2 Towns Ciderhouse, Corvallis, Oregon
Alter Ego Cider, Portland, Oregon
Apple Outlaw, Jacksonville, Oregon
Art+Science Winery, Sheridan, Oregon
Atlas Cider Co, Bend, Oregon
Baird & Dewar Farmhouse Cider, Dayton, Oregon
Bandon Rain, Bandon, Oregon
Bauman’s Cider, Gervais, Oregon
Blue Mountain Cider Company, Milton-Freewater, Oregon
Bull Run Cider, Forest Grove, Oregon
Carlton Cyderworks, McMinnville, Oregon
Cider Riot!, Portland, Oregon
Core Alchemy Cider, Hillsboro, Oregon
Doc Fields Cider, Redmond, Oregon
Double Mountain Brewery, Hood River, Oregon
E.Z. Orchards, Salem, Oregon
Elk Horn Brewery & Ciderhouse, Eugene, Oregon
Floréal Cider, Hood River, Oregon
Forest Edge Vineyard, Oregon City, Oregon
Fox Tail Cider, Hood River, Oregon
Gold Rush Cider, Medford, Oregon
Golden Row Cider, Mt Hood, Oregon
Hedgerow Cidery, Dallas, Oregon
Hood Valley Hard Cider, Mt Hood, Oregon
Hopworks Urban Brewery, Portland, Oregon
HR Ciderworks, Hood River, Oregon
Legend Cider Company, The Dalles, Oregon
Logsdon Barrel House & Taproom, Hood River, Oregon
McMenamins Edgefield Winery, Troutdale, Oregon
New West Cider / Sasquatch Brewing, Portland, Oregon
OR\WA Cider Collective, Milwaukie, Oregon
Oregon Mead & Cider Co., Portland, Oregon
Ovino Market, Hood River, Oregon
Portland Cider Co., Clackamas, Oregon
Rack & Cloth, Mosier, Oregon
Red Tank Cider, Bend, Oregon
Reverend Nat’s Hard Cider, Portland, Oregon
Rimrock Cider, Bend, Oregon
Rivercider, Hood River, Oregon
Rogue Ales & Spirits, Newport, Oregon
Rookshire Lane Orchards, Eugene, Oregon
Runcible Cider, Mosier, Oregon
Slopeswell Cider Co., Hood River, Oregon
Square Mile Cider Co., Portland, Oregon
Swift Cider, Portland, Oregon
The Gorge White House, Hood River, Oregon
Tumalo Cider Company, Bend, Oregon
Wandering Aengus Ciderworks, Salem, Oregon
WildCraft Cider Works, Eugene, Oregon
Woodbox Cider Co., Portland, Oregon
Bushwhacker Cider, Portland, Oregon
Cider Bite, Portland, Oregon
Ciderlicious, Eugene, Oregon
Crush Cider Cafe, Hood River, Oregon
Portland Cider House, Portland, Oregon
Schilling Cider House, Portland, Oregon
6 Mile Cellars, Erie, Pennsylvania
Arsenal Cider House & Wine Cellar, Pittsburgh, Pennsylvania
Arundel Cellars & Brewing Co., North East, Pennsylvania
Banter’s Hard Cider, Stroudsburg, Pennsylvania
Big Hill Ciderworks, Gardners, Pennsylvania
Blackledge Winery, Center Valley, Pennsylvania
Broad Mountain Vineyard, Elizabethville, Pennsylvania
Civil War Cider, Lewisburg, Pennsylvania
Colonel Ricketts Hard Cider, Benton, Pennsylvania
Commonwealth Ciders, Philadelphia, Pennsylvania
Conneaut Cellars Winery, Conneaut Lake, Pennsylvania
Deep Roots Hard Cider, Sugar Run, Pennsylvania
Dressler Estate, Downingtown, Pennsylvania
Franklin Hill Vineyards, Bangor, Pennsylvania
Frecon’s Cidery, Reading, Pennsylvania
Good Intent Cider, Bellefonte, Pennsylvania
Hardball Cider, Pen Argyl, Pennsylvania
