GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US1571550,1571550,"Urban Honolulu CDP, Hawaii",351769,82
1600000US1608830,1608830,"Boise City city, Idaho",223152,31
1600000US1652120,1652120,"Meridian city, Idaho",95627,24
1600000US1656260,1656260,"Nampa city, Idaho",91375,40
1600000US1702154,1702154,"Arlington Heights village, Illinois",74397,1904
1600000US1703012,1703012,"Aurora city, Illinois",197107,5891
1600000US1706613,1706613,"Bloomington city, Illinois",78024,68
1600000US1707133,1707133,"Bolingbrook village, Illinois",73367,4360
1600000US1712385,1712385,"Champaign city, Illinois",86649,46
1600000US1714000,1714000,"Chicago city, Illinois",2704965,51
1600000US1714351,1714351,"Cicero town, Illinois",82991,25
1600000US1718823,1718823,"Decatur city, Illinois",71435,1943
1600000US1723074,1723074,"Elgin city, Illinois",114521,4778
1600000US1724582,1724582,"Evanston city, Illinois",74899,29
1600000US1738570,1738570,"Joliet city, Illinois",146410,4795
1600000US1751622,1751622,"Naperville city, Illinois",148063,1923
1600000US1757225,1757225,"Palatine village, Illinois",68725,32
1600000US1759000,1759000,"Peoria city, Illinois",115588,2025
1600000US1765000,1765000,"Rockford city, Illinois",147404,1851
1600000US1768003,1768003,"Schaumburg village, Illinois",73803,1280
1600000US1770122,1770122,"Skokie village, Illinois",64292,75
1600000US1772000,1772000,"Springfield city, Illinois",115511,30
1600000US1779293,1779293,"Waukegan city, Illinois",84467,3234
1600000US1805860,1805860,"Bloomington city, Indiana",86654,2530
1600000US1810342,1810342,"Carmel city, Indiana",90533,1661
1600000US1822000,1822000,"Evansville city, Indiana",119407,3161
1600000US1823278,1823278,"Fishers city, Indiana",88930,2589
1600000US1825000,1825000,"Fort Wayne city, Indiana",261342,4425
1600000US1827000,1827000,"Gary city, Indiana",74186,3598
1600000US1831000,1831000,"Hammond city, Indiana",77131,32
1600000US1836003,1836003,"Indianapolis city (balance), Indiana",852506,4892
1600000US1840788,1840788,"Lafayette city, Indiana",71311,3468
1600000US1851876,1851876,"Muncie city, Indiana",68707,1760
1600000US1871000,1871000,"South Bend city, Indiana",102442,3088
1600000US1901855,1901855,"Ames city, Iowa",66190,19
1600000US1912000,1912000,"Cedar Rapids city, Iowa",131118,40
1600000US1919000,1919000,"Davenport city, Iowa",102608,25
1600000US1921000,1921000,"Des Moines city, Iowa",215328,84
1600000US1938595,1938595,"Iowa City city, Iowa",74384,53
1600000US1973335,1973335,"Sioux City city, Iowa",82105,3082
1600000US1982425,1982425,"Waterloo city, Iowa",67940,29
1600000US2036000,2036000,"Kansas City city, Kansas",153893,1631
1600000US2038900,2038900,"Lawrence city, Kansas",95355,21
1600000US2052575,2052575,"Olathe city, Kansas",135474,40
1600000US2053775,2053775,"Overland Park city, Kansas",188955,57
1600000US2064500,2064500,"Shawnee city, Kansas",65215,73
1600000US2071000,2071000,"Topeka city, Kansas",126812,28
1600000US2079000,2079000,"Wichita city, Kansas",389927,90
1600000US2108902,2108902,"Bowling Green city, Kentucky",65239,28
1600000US2146027,2146027,"Lexington-Fayette urban county, Kentucky",318449,*****
1600000US2148006,2148006,"Louisville/Jefferson County metro government (balance), Kentucky",616261,61
1600000US2205000,2205000,"Baton Rouge city, Louisiana",227707,44
1600000US2208920,2208920,"Bossier City city, Louisiana",68485,23
1600000US2239475,2239475,"Kenner city, Louisiana",67094,29
1600000US2240735,2240735,"Lafayette city, Louisiana",127625,30
1600000US2241155,2241155,"Lake Charles city, Louisiana",76861,48
1600000US2250115,2250115,"Metairie CDP, Louisiana",143475,7471
1600000US2255000,2255000,"New Orleans city, Louisiana",391495,*****
1600000US2270000,2270000,"Shreveport city, Louisiana",194472,915
1600000US2360545,2360545,"Portland city, Maine",66945,35
1600000US2404000,2404000,"Baltimore city, Maryland",614664,*****
1600000US2419125,2419125,"Columbia CDP, Maryland",107308,6439
1600000US2426000,2426000,"Ellicott City CDP, Maryland",68683,4247
1600000US2430325,2430325,"Frederick city, Maryland",70062,28
1600000US2431175,2431175,"Gaithersburg city, Maryland",67760,56
1600000US2432025,2432025,"Germantown CDP, Maryland",89940,7981
1600000US2432650,2432650,"Glen Burnie CDP, Maryland",69499,6257
1600000US2467675,2467675,"Rockville city, Maryland",66927,58
1600000US2472450,2472450,"Silver Spring CDP, Maryland",85988,7291
1600000US2481175,2481175,"Waldorf CDP, Maryland",75448,4374
1600000US2507000,2507000,"Boston city, Massachusetts",672840,3173
1600000US2509000,2509000,"Brockton city, Massachusetts",95623,39
1600000US2511000,2511000,"Cambridge city, Massachusetts",110644,38
1600000US2523000,2523000,"Fall River city, Massachusetts",88929,24
1600000US2524960,2524960,"Framingham CDP, Massachusetts",71583,47
1600000US2534550,2534550,"Lawrence city, Massachusetts",80216,29
1600000US2537000,2537000,"Lowell city, Massachusetts",110572,61
1600000US2537490,2537490,"Lynn city, Massachusetts",92708,38
1600000US2545000,2545000,"New Bedford city, Massachusetts",95035,30
1600000US2545560,2545560,"Newton city, Massachusetts",89041,28
1600000US2555745,2555745,"Quincy city, Massachusetts",93686,24
1600000US2562535,2562535,"Somerville city, Massachusetts",81324,22
1600000US2567000,2567000,"Springfield city, Massachusetts",154079,29
1600000US2582000,2582000,"Worcester city, Massachusetts",184509,36
1600000US2603000,2603000,"Ann Arbor city, Michigan",120777,33
1600000US2621000,2621000,"Dearborn city, Michigan",94430,52
1600000US2622000,2622000,"Detroit city, Michigan",672829,107
1600000US2627440,2627440,"Farmington Hills city, Michigan",81130,32
1600000US2629000,2629000,"Flint city, Michigan",97379,35
1600000US2634000,2634000,"Grand Rapids city, Michigan",196458,48
1600000US2642160,2642160,"Kalamazoo city, Michigan",75988,32
1600000US2646000,2646000,"Lansing city, Michigan",117400,1797
1600000US2649000,2649000,"Livonia city, Michigan",94044,28
1600000US2669035,2669035,"Rochester Hills city, Michigan",73418,30
1600000US2674900,2674900,"Southfield city, Michigan",73093,31
1600000US2676460,2676460,"Sterling Heights city, Michigan",132442,54
1600000US2680700,2680700,"Troy city, Michigan",83651,46
1600000US2684000,2684000,"Warren city, Michigan",135121,38
1600000US2686000,2686000,"Westland city, Michigan",81543,27
1600000US2688940,2688940,"Wyoming city, Michigan",75560,35
1600000US2706616,2706616,"Bloomington city, Minnesota",85337,64
1600000US2707966,2707966,"Brooklyn Park city, Minnesota",79708,31
1600000US2717000,2717000,"Duluth city, Minnesota",86300,35
1600000US2717288,2717288,"Eagan city, Minnesota",66431,29
1600000US2740166,2740166,"Maple Grove city, Minnesota",69569,32
1600000US2743000,2743000,"Minneapolis city, Minnesota",413645,45
1600000US2751730,2751730,"Plymouth city, Minnesota",77231,55
1600000US2754880,2754880,"Rochester city, Minnesota",114008,26
1600000US2756896,2756896,"St. Cloud city, Minnesota",67396,2364
1600000US2758000,2758000,"St. Paul city, Minnesota",302403,35
1600000US2771428,2771428,"Woodbury city, Minnesota",68824,28
1600000US2829700,2829700,"Gulfport city, Mississippi",72077,29
1600000US2836000,2836000,"Jackson city, Mississippi",169141,310
1600000US2915670,2915670,"Columbia city, Missouri",120606,30
1600000US2935000,2935000,"Independence city, Missouri",117031,34
1600000US2938000,2938000,"Kansas City city, Missouri",481360,151
1600000US2941348,2941348,"Lee's Summit city, Missouri",95782,525
1600000US2954074,2954074,"O'Fallon city, Missouri",86276,39
1600000US2964082,2964082,"St. Charles city, Missouri",69293,31
1600000US2964550,2964550,"St. Joseph city, Missouri",76506,1882
1600000US2965000,2965000,"St. Louis city, Missouri",311404,*****
1600000US2970000,2970000,"Springfield city, Missouri",167313,33
1600000US3006550,3006550,"Billings city, Montana",110314,36
1600000US3050200,3050200,"Missoula city, Montana",72362,24
1600000US3128000,3128000,"Lincoln city, Nebraska",280369,29
1600000US3137000,3137000,"Omaha city, Nebraska",446956,66
1600000US3223770,3223770,"Enterprise CDP, Nevada",139509,11035
1600000US3231900,3231900,"Henderson city, Nevada",292977,50
1600000US3240000,3240000,"Las Vegas city, Nevada",632916,61
1600000US3251800,3251800,"North Las Vegas city, Nevada",238689,54
